Test loss: tensor(1.3702, device='cuda:0')accuary:0.01875
Test loss: tensor(1.1333, device='cuda:0')accuary:0.015
Test loss: tensor(0.9974, device='cuda:0')accuary:0.02625
Test loss: tensor(0.9999, device='cuda:0')accuary:0.0275
Test loss: tensor(1.0197, device='cuda:0')accuary:0.02625
Test loss: tensor(1.0318, device='cuda:0')accuary:0.02
Test loss: tensor(1.0337, device='cuda:0')accuary:0.025
Test loss: tensor(1.0248, device='cuda:0')accuary:0.01625
Test loss: tensor(1.0082, device='cuda:0')accuary:0.02875
Test loss: tensor(1.0063, device='cuda:0')accuary:0.0225
Test loss: tensor(0.9739, device='cuda:0')accuary:0.02
Test loss: tensor(0.9996, device='cuda:0')accuary:0.03
Test loss: tensor(1.0218, device='cuda:0')accuary:0.03375
Test loss: tensor(0.9870, device='cuda:0')accuary:0.03625
Test loss: tensor(0.9949, device='cuda:0')accuary:0.0325
Test loss: tensor(0.9932, device='cuda:0')accuary:0.0325
Test loss: tensor(0.9983, device='cuda:0')accuary:0.03125
Test loss: tensor(0.9751, device='cuda:0')accuary:0.03625
Test loss: tensor(0.9777, device='cuda:0')accuary:0.025
Test loss: tensor(0.9779, device='cuda:0')accuary:0.035
Test loss: tensor(0.9675, device='cuda:0')accuary:0.04
Test loss: tensor(0.9985, device='cuda:0')accuary:0.0325
Test loss: tensor(1.0131, device='cuda:0')accuary:0.03625
Test loss: tensor(0.9818, device='cuda:0')accuary:0.035
Test loss: tensor(0.9826, device='cuda:0')accuary:0.03875
Test loss: tensor(1.0103, device='cuda:0')accuary:0.03625
Test loss: tensor(1.0126, device='cuda:0')accuary:0.045
Test loss: tensor(0.9672, device='cuda:0')accuary:0.0375
Test loss: tensor(0.9949, device='cuda:0')accuary:0.035
Test loss: tensor(1.0139, device='cuda:0')accuary:0.03125
Test loss: tensor(1.0003, device='cuda:0')accuary:0.03375
Test loss: tensor(1.0086, device='cuda:0')accuary:0.03125
Test loss: tensor(0.9921, device='cuda:0')accuary:0.035
Test loss: tensor(0.9986, device='cuda:0')accuary:0.04
Test loss: tensor(0.9798, device='cuda:0')accuary:0.0375
Test loss: tensor(1.0000, device='cuda:0')accuary:0.04125
Test loss: tensor(0.9787, device='cuda:0')accuary:0.0425
Test loss: tensor(0.9930, device='cuda:0')accuary:0.0425
Test loss: tensor(0.9873, device='cuda:0')accuary:0.0375
Test loss: tensor(1.0109, device='cuda:0')accuary:0.0425
Test loss: tensor(0.9867, device='cuda:0')accuary:0.04625
Test loss: tensor(0.9935, device='cuda:0')accuary:0.03625
Test loss: tensor(0.9899, device='cuda:0')accuary:0.03625
Test loss: tensor(0.9737, device='cuda:0')accuary:0.04875
Test loss: tensor(0.9757, device='cuda:0')accuary:0.03625
Test loss: tensor(1.0426, device='cuda:0')accuary:0.03125
Test loss: tensor(1.0075, device='cuda:0')accuary:0.0425
Test loss: tensor(1.0222, device='cuda:0')accuary:0.03875
Test loss: tensor(0.9854, device='cuda:0')accuary:0.03875
Test loss: tensor(1.0097, device='cuda:0')accuary:0.04
Test loss: tensor(1.0240, device='cuda:0')accuary:0.03875
Test loss: tensor(0.9766, device='cuda:0')accuary:0.03375
Test loss: tensor(0.9676, device='cuda:0')accuary:0.04375
Test loss: tensor(0.9931, device='cuda:0')accuary:0.04375
Test loss: tensor(1.0241, device='cuda:0')accuary:0.035
Test loss: tensor(1.0077, device='cuda:0')accuary:0.04375
